title,authors,arxiv_url,abstract,abstract_ja,figure1_or_table1
Structured Co-Reference Graph Attention for Video-Grounded Dialogue,"['Junyeong Kim', 'Sunjae Yoon', 'DaHyun Kim', 'Chang D. Yoo']",,,,
Dual-Octave Convolution for Accelerated Parallel MR Image Reconstruction,"['Chunmei Feng', 'Zhanyuan Yang', 'Geng Chen', 'Yong Xu', 'Ling Shao']",,,,
Interpretable Embedding Procedure Knowledge Transfer via Stacked Principal Component Analysis and Graph Neural Network,"['Seunghyun Lee', 'Byung Cheol Song']",,,,
NuQClq: An Effective Local Search Algorithm for Maximum Quasi-Clique Problem,"['Jiejiang Chen', 'Shaowei Cai', 'Shiwei Pan', 'Yiyuan Wang', 'Qingwei Lin', 'Mengyu Zhao', 'Minghao Yin']",,,,
MiniSeg: An Extremely Minimum Network for Efficient COVID-19 Segmentation,"['Yu Qiu', 'Yun Liu', 'Shijie Li', 'Jing Xu']",https://arxiv.org/abs/2004.09750,"The rapid spread of the new pandemic, coronavirus disease 2019 (COVID-19), has seriously threatened global health. The gold standard for COVID-19 diagnosis is the tried-and-true polymerase chain reaction (PCR), but PCR is a laborious, time-consuming and complicated manual process that is in short supply. Deep learning based computer-aided screening, e.g., infection segmentation, is thus viewed as an alternative due to its great successes in medical imaging. However, the publicly available COVID-19 training data are limited, which would easily cause overfitting of traditional deep learning methods that are usually data-hungry with millions of parameters. On the other hand, fast training/testing and low computational cost are also important for quick deployment and development of computer-aided COVID-19 screening systems, but traditional deep learning methods, especially for image segmentation, are usually computationally intensive. To address the above problems, we propose MiniSeg, a lightweight deep learning model for efficient COVID-19 segmentation. Compared with traditional segmentation methods, MiniSeg has several significant strengths: i) it only has 472K parameters and is thus not easy to overfit; ii) it has high computational efficiency and is thus convenient for practical deployment; iii) it can be fast retrained by other users using their private COVID-19 data for further improving performance. In addition, we build a comprehensive COVID-19 segmentation benchmark for comparing MiniSeg with traditional methods. Code and models will be released to promote the research and practical deployment for computer-aided COVID-19 screening.",新しいパンデミックであるコロナウイルス病2019（COVID-19）の急速な蔓延は、世界の健康を深刻に脅かしています。 COVID-19診断のゴールドスタンダードは、実証済みのポリメラーゼ連鎖反応（PCR）ですが、PCRは面倒で時間のかかる複雑な手動プロセスであり、不足しています。したがって、深層学習ベースのコンピュータ支援スクリーニング、たとえば感染セグメンテーションは、医用画像処理で大きな成功を収めているため、代替手段と見なされています。ただし、公開されているCOVID-19トレーニングデータは限られているため、通常は数百万のパラメータでデータを大量に消費する従来の深層学習手法の過剰適合が発生しやすくなります。一方、コンピュータ支援COVID-19スクリーニングシステムの迅速な展開と開発には、高速なトレーニング/テストと低い計算コストも重要ですが、従来の深層学習方法、特に画像セグメンテーションは、通常、計算量が多くなります。上記の問題に対処するために、効率的なCOVID-19セグメンテーションのための軽量ディープラーニングモデルであるMiniSegを提案します。従来のセグメンテーション方法と比較して、MiniSegにはいくつかの重要な長所があります。i）472Kのパラメーターしかないため、過剰適合が容易ではありません。 ii）計算効率が高いため、実際の展開に便利です。 iii）パフォーマンスをさらに向上させるために、他のユーザーがプライベートCOVID-19データを使用して高速に再トレーニングできます。さらに、MiniSegを従来の方法と比較するための包括的なCOVID-19セグメンテーションベンチマークを構築します。コンピュータ支援COVID-19スクリーニングの研究と実用化を促進するためのコードとモデルがリリースされます。,https://d3i71xaburhd42.cloudfront.net/fb34b5fcdfe317e8787349dd7a7286117850c218/3-Figure1-1.png
AttaNet: Attention-Augmented Network for Fast and Accurate Scene Parsing,"['Qi Song', 'Kangfu Mei', 'Rui Huang']",,,,
Learning to Copy Coherent Knowledge for Response Generation,"['Jiaqi Bai', 'Ze Yang', 'Xinnian Liang', 'Wei Wang', 'Zhoujun Li']",,,,
PANTHER: Pathway Augmented Nonnegative Tensor Factorization for HighER-Order Feature Learning,"['Yuan Luo', 'Chengsheng Mao']",https://arxiv.org/abs/2012.08580,"Genetic pathways usually encode molecular mechanisms that can inform targeted interventions. It is often challenging for existing machine learning approaches to jointly model genetic pathways (higher-order features) and variants (atomic features), and present to clinicians interpretable models. In order to build more accurate and better interpretable machine learning models for genetic medicine, we introduce Pathway Augmented Nonnegative Tensor factorization for HighER-order feature learning (PANTHER). PANTHER selects informative genetic pathways that directly encode molecular mechanisms. We apply genetically motivated constrained tensor factorization to group pathways in a way that reflects molecular mechanism interactions. We then train a softmax classifier for disease types using the identified pathway groups. We evaluated PANTHER against multiple state-of-the-art constrained tensor/matrix factorization models, as well as group guided and Bayesian hierarchical models. PANTHER outperforms all state-of-the-art comparison models significantly (p<0.05). Our experiments on large scale Next Generation Sequencing (NGS) and whole-genome genotyping datasets also demonstrated wide applicability of PANTHER. We performed feature analysis in predicting disease types, which suggested insights and benefits of the identified pathway groups.",遺伝的経路は通常、標的を絞った介入に情報を与えることができる分子メカニズムをコードします。遺伝子経路（高次の特徴）とバリアント（原子の特徴）を共同でモデル化し、臨床医に解釈可能なモデルを提示することは、既存の機械学習アプローチにとってしばしば困難です。遺伝医学のためのより正確でより解釈しやすい機械学習モデルを構築するために、高次特徴学習（PANTHER）のためのPathway Augmented NonnegativeTensor因数分解を導入します。 PANTHERは、分子メカニズムを直接コードする有益な遺伝子経路を選択します。分子メカニズムの相互作用を反映する方法で、遺伝的に動機付けられた制約付きテンソル分解をグループ経路に適用します。次に、特定された経路グループを使用して、疾患タイプのソフトマックス分類器をトレーニングします。 PANTHERを、複数の最先端の制約付きテンソル/行列因数分解モデル、およびグループガイドモデルとベイズ階層モデルに対して評価しました。 PANTHERは、すべての最先端の比較モデルを大幅に上回っています（p &lt;0.05）。大規模な次世代シーケンシング（NGS）および全ゲノムジェノタイピングデータセットに関する実験でも、PANTHERの幅広い適用性が実証されました。疾患の種類を予測する際に特徴分析を実行しました。これにより、特定された経路グループの洞察と利点が示唆されました。,https://d3i71xaburhd42.cloudfront.net/303149806dc5be379b4c1fc7070092437b3a6ad0/3-Figure1-1.png
Knowledge Refactoring for Inductive Program Synthesis,"['Sebastijan Dumancic', 'Tias Guns', 'Andrew Cropper']",https://arxiv.org/abs/2004.09931,"Humans constantly restructure knowledge to use it more efficiently. Our goal is to give a machine learning system similar abilities so that it can learn more efficiently. We introduce the \textit{knowledge refactoring} problem, where the goal is to restructure a learner's knowledge base to reduce its size and to minimise redundancy in it. We focus on inductive logic programming, where the knowledge base is a logic program. We introduce Knorf, a system which solves the refactoring problem using constraint optimisation. We evaluate our approach on two program induction domains: real-world string transformations and building Lego structures. Our experiments show that learning from refactored knowledge can improve predictive accuracies fourfold and reduce learning times by half.",人間は常に知識を再構築して、知識をより効率的に使用します。私たちの目標は、機械学習システムに同様の機能を提供して、より効率的に学習できるようにすることです。知識リファクタリングの問題を紹介します。ここでの目標は、学習者の知識ベースを再構築してサイズを縮小し、冗長性を最小限に抑えることです。知識ベースが論理プログラムである帰納論理プログラミングに焦点を当てています。制約最適化を使用してリファクタリング問題を解決するシステムであるKnorfを紹介します。実世界の文字列変換とレゴ構造の構築という2つのプログラム帰納ドメインでアプローチを評価します。私たちの実験は、リファクタリングされた知識から学習することで、予測精度を4倍向上させ、学習時間を半分に短縮できることを示しています。,
LCollision: Fast Generation of Collision-Free Human Poses Using Learned Non-Penetration Constraints,"['Qingyang Tan', 'Zherong Pan', 'Dinesh Manocha']",https://arxiv.org/abs/2011.03632,"We present a learning-based method (LCollision) that synthesizes collision-free 3D human poses. At the crux of our approach is a novel deep architecture that simultaneously decodes new human poses from the latent space and classifies the collision status. These two components of our architecture are used as the objective function and surrogate hard-constraints in a constrained-optimization algorithm for collision-free human pose generation. A novel aspect of our approach is the use of a bilevel autoencoder that decomposes whole-body collisions into groups of collisions between localized body parts. We show that solving our constrained optimization formulation can resolve significantly more collision artifacts than prior learning algorithms. Furthermore, in a large test set of $2.5\times 10^6$ randomized poses from three major datasets, our architecture achieves a collision-prediction accuracy of $94.1\%$ with $80\times$ speedup over exact collision detection algorithms. To the best of our knowledge, LCollision is the first approach that can obtain high accuracy in terms of handling non-penetration and collision constraints in a learning framework.",衝突のない3D人間のポーズを合成する学習ベースの方法（LCollision）を紹介します。私たちのアプローチの核心は、潜在空間から新しい人間のポーズを同時にデコードし、衝突状態を分類する新しい深いアーキテクチャです。私たちのアーキテクチャのこれらの2つのコンポーネントは、衝突のない人間のポーズ生成のための制約付き最適化アルゴリズムで、目的関数および代理ハード制約として使用されます。私たちのアプローチの新しい側面は、全身の衝突を局所的な身体部分間の衝突のグループに分解するバイレベルオートエンコーダの使用です。制約付き最適化の定式化を解くことで、以前の学習アルゴリズムよりもはるかに多くの衝突アーティファクトを解決できることを示します。さらに、3つの主要なデータセットからの2.5 106のランダム化されたポーズの大規模なテストセットで、私たちのアーキテクチャは、正確な衝突検出アルゴリズムよりも80スピードアップし、94.1％の衝突予測精度を達成します。私たちの知る限り、LCollisionは、学習フレームワークで非侵入および衝突の制約を処理するという点で高精度を得ることができる最初のアプローチです。,https://d3i71xaburhd42.cloudfront.net/3f1db35aa06afeff6bf2f00ae85a8ceb1febf27e/3-Figure1-1.png
Incremental Embedding Learning via Zero-Shot Translation,"['Kun Wei', 'Cheng Deng', 'Xu Yang', 'Maosen Li']",https://arxiv.org/abs/2012.15497,"Modern deep learning methods have achieved great success in machine learning and computer vision fields by learning a set of pre-defined datasets. Howerver, these methods perform unsatisfactorily when applied into real-world situations. The reason of this phenomenon is that learning new tasks leads the trained model quickly forget the knowledge of old tasks, which is referred to as catastrophic forgetting. Current state-of-the-art incremental learning methods tackle catastrophic forgetting problem in traditional classification networks and ignore the problem existing in embedding networks, which are the basic networks for image retrieval, face recognition, zero-shot learning, etc. Different from traditional incremental classification networks, the semantic gap between the embedding spaces of two adjacent tasks is the main challenge for embedding networks under incremental learning setting. Thus, we propose a novel class-incremental method for embedding network, named as zero-shot translation class-incremental method (ZSTCI), which leverages zero-shot translation to estimate and compensate the semantic gap without any exemplars. Then, we try to learn a unified representation for two adjacent tasks in sequential learning process, which captures the relationships of previous classes and current classes precisely. In addition, ZSTCI can easily be combined with existing regularization-based incremental learning methods to further improve performance of embedding networks. We conduct extensive experiments on CUB200-2011 and CIFAR100, and the experiment results prove the effectiveness of our method. The code of our method has been released.",最新の深層学習手法は、事前定義されたデータセットのセットを学習することにより、機械学習とコンピュータービジョンの分野で大きな成功を収めています。ただし、これらの方法は、実際の状況に適用すると不十分に機能します。この現象の理由は、新しいタスクを学習すると、トレーニングされたモデルが古いタスクの知識をすぐに忘れてしまうためです。これは、壊滅的な忘却と呼ばれます。現在の最先端のインクリメンタル学習方法は、従来の分類ネットワークにおける壊滅的な忘却の問題に取り組み、画像検索、顔認識、ゼロショット学習などの基本ネットワークである埋め込みネットワークに存在する問題を無視します。従来とは異なります。インクリメンタル分類ネットワークでは、2つの隣接するタスクの埋め込みスペース間のセマンティックギャップが、インクリメンタル学習設定でネットワークを埋め込むための主な課題です。したがって、ゼロショット変換を活用してエグザンプラなしでセマンティックギャップを推定および補正する、ゼロショット変換クラスインクリメンタルメソッド（ZSTCI）と呼ばれる、ネットワークを埋め込むための新しいクラスインクリメンタルメソッドを提案します。次に、前のクラスと現在のクラスの関係を正確にキャプチャする、順次学習プロセスで2つの隣接するタスクの統一された表現を学習しようとします。さらに、ZSTCIは、既存の正則化ベースの増分学習方法と簡単に組み合わせて、埋め込みネットワークのパフォーマンスをさらに向上させることができます。私たちはCUB200-2011とCIFAR100で広範な実験を行い、実験結果は私たちの方法の有効性を証明しています。メソッドのコードがリリースされました。,https://d3i71xaburhd42.cloudfront.net/773aab0cf44aab244b989963da30db914437b97a/1-Figure1-1.png
Weakly-Supervised Temporal Action Localization by Uncertainty Modeling,"['Pilhyeon Lee', 'Jinglu Wang', 'Yan Lu', 'Hyeran Byun']",https://arxiv.org/abs/2006.07006,"Weakly-supervised temporal action localization aims to learn detecting temporal intervals of action classes with only video-level labels. To this end, it is crucial to separate frames of action classes from the background frames (i.e., frames not belonging to any action classes). In this paper, we present a new perspective on background frames where they are modeled as out-of-distribution samples regarding their inconsistency. Then, background frames can be detected by estimating the probability of each frame being out-of-distribution, known as uncertainty, but it is infeasible to directly learn uncertainty without frame-level labels. To realize the uncertainty learning in the weakly-supervised setting, we leverage the multiple instance learning formulation. Moreover, we further introduce a background entropy loss to better discriminate background frames by encouraging their in-distribution (action) probabilities to be uniformly distributed over all action classes. Experimental results show that our uncertainty modeling is effective at alleviating the interference of background frames and brings a large performance gain without bells and whistles. We demonstrate that our model significantly outperforms state-of-the-art methods on the benchmarks, THUMOS'14 and ActivityNet (1.2 & 1.3). Our code is available at https://github.com/Pilhyeon/WTAL-Uncertainty-Modeling.",弱教師あり時間アクションローカリゼーションは、ビデオレベルのラベルのみを使用してアクションクラスの時間間隔を検出することを学習することを目的としています。このためには、アクションクラスのフレームをバックグラウンドフレーム（つまり、どのアクションクラスにも属していないフレーム）から分離することが重要です。この論文では、背景フレームが不整合に関して分布外のサンプルとしてモデル化されている場合の新しい視点を示します。次に、不確実性と呼ばれる、各フレームが分布外になる確率を推定することで背景フレームを検出できますが、フレームレベルのラベルなしで不確実性を直接学習することは不可能です。弱教師あり設定での不確実性学習を実現するために、複数インスタンス学習の定式化を活用します。さらに、バックグラウンドエントロピー損失を導入して、バックグラウンドフレームをより適切に区別するために、それらの分布内（アクション）確率がすべてのアクションクラスに均一に分散されるようにします。実験結果は、不確実性モデリングがバックグラウンドフレームの干渉を軽減するのに効果的であり、ベルやホイッスルなしで大幅なパフォーマンスの向上をもたらすことを示しています。私たちのモデルは、ベンチマークであるTHUMOS14およびActivityNet（1.2および1.3）の最先端の方法を大幅に上回っていることを示しています。私たちのコードはhttps://github.com/Pilhyeon/WTAL-Uncertainty-Modelingで入手できます。,
