title,authors,arxiv_url,abstract
A Multi-Task Incremental Learning Framework with Category Name Embedding for Aspect-Category Sentiment Analysis,"['Zehui Dai', 'Cheng Peng', 'Huajie Chen', 'Yadong Ding']",http://arxiv.org/abs/2010.02784v1,"(T)ACSA tasks, including aspect-category sentiment analysis (ACSA) and targeted aspect-category sentiment analysis (TACSA), aims at identifying sentiment polarity on predefined categories. Incremental learning on new categories is necessary for (T)ACSA real applications. Though current multi-task learning models achieve good performance in (T)ACSA tasks, they suffer from catastrophic forgetting problems in (T)ACSA incremental learning tasks. In this paper, to make multi-task learning feasible for incremental learning, we proposed Category Name Embedding network (CNE-net). We set both encoder and decoder shared among all categories to weaken the catastrophic forgetting problem. Besides the origin input sentence, we applied another input feature, i.e., category name, for task discrimination. Our model achieved state-of-the-art on two (T)ACSA benchmark datasets. Furthermore, we proposed a dataset for (T)ACSA incremental learning and achieved the best performance compared with other strong baselines."
A Predicate-Function-Argument Annotation of Natural Language for Open-Domain Information Expression,"['Mingming Sun', 'Wenyue Hua', 'Zoe Liu', 'Xin Wang', 'kangjie zheng', 'Ping Li']",,
A Probabilistic End-To-End Task-Oriented Dialog Model with Latent Belief States towards Semi-Supervised Learning,"['Yichi Zhang', 'Zhijian Ou', 'Min Hu', 'Junlan Feng']",http://arxiv.org/abs/2009.08115v2,"Structured belief states are crucial for user goal tracking and database query in task-oriented dialog systems. However, training belief trackers often requires expensive turn-level annotations of every user utterance. In this paper we aim at alleviating the reliance on belief state labels in building end-to-end dialog systems, by leveraging unlabeled dialog data towards semi-supervised learning. We propose a probabilistic dialog model, called the LAtent BElief State (LABES) model, where belief states are represented as discrete latent variables and jointly modeled with system responses given user inputs. Such latent variable modeling enables us to develop semi-supervised learning under the principled variational learning framework. Furthermore, we introduce LABES-S2S, which is a copy-augmented Seq2Seq model instantiation of LABES. In supervised experiments, LABES-S2S obtains strong results on three benchmark datasets of different scales. In utilizing unlabeled dialog data, semi-supervised LABES-S2S significantly outperforms both supervised-only and semi-supervised baselines. Remarkably, we can reduce the annotation demands to 50% without performance loss on MultiWOZ."
A Rigorous Study on Named Entity Recognition: Can Fine-tuning Pretrained Model Lead to the Promised Land?,"['Hongyu Lin', 'Yaojie Lu', 'Jialong Tang', 'Xianpei Han', 'Le Sun', 'Zhicheng Wei', 'Nicholas Jing Yuan']",http://arxiv.org/abs/2004.12126v1,"Fine-tuning pretrained model has achieved promising performance on standard NER benchmarks. Generally, these benchmarks are blessed with strong name regularity, high mention coverage and sufficient context diversity. Unfortunately, when scaling NER to open situations, these advantages may no longer exist, and therefore raise the critical question of whether pretrained supervised models can still work well when facing these issues. As there is no currently available dataset to investigate this problem, this paper proposes to conduct randomization test on standard benchmarks. Specifically, we erase name regularity, mention coverage and context diversity respectively from the benchmarks, in order to explore their impact on the generalization ability of models. Moreover, we also construct a new open NER dataset that focuses on entity types with weak name regularity such as book, song, and movie. From both randomization test and empirical experiments, we draw the conclusions that 1) name regularity is vital for generalization to unseen mentions; 2) high mention coverage may undermine the model generalization ability and 3) context patterns may not require enormous data to capture when using pretrained supervised models."
A Spectral Method for Unsupervised Multi-Document Summarization,"['Kexiang Wang', 'Baobao Chang', 'Zhifang Sui']",,
A State-independent and Time-evolving Network with Applications to Early Rumor Detection,"['Rui Xia', 'Kaizhou Xuan', 'Jianfei Yu']",,
A Supervised Word Alignment Method based on Cross-Language Span Prediction using Multilingual BERT,"['Masaaki Nagata', 'Katsuki Chousa', 'Masaaki Nishino']",http://arxiv.org/abs/2004.14516v1,"We present a novel supervised word alignment method based on cross-language span prediction. We first formalize a word alignment problem as a collection of independent predictions from a token in the source sentence to a span in the target sentence. As this is equivalent to a SQuAD v2.0 style question answering task, we then solve this problem by using multilingual BERT, which is fine-tuned on a manually created gold word alignment data. We greatly improved the word alignment accuracy by adding the context of the token to the question. In the experiments using five word alignment datasets among Chinese, Japanese, German, Romanian, French, and English, we show that the proposed method significantly outperformed previous supervised and unsupervised word alignment methods without using any bitexts for pretraining. For example, we achieved an F1 score of 86.7 for the Chinese-English data, which is 13.3 points higher than the previous state-of-the-art supervised methods."
A Synset Relation-enhanced Framework with a Try-again Mechanism for Word Sense Disambiguation,"['Ming Wang', 'Yinglin Wang']",,
A Time-Aware Transformer based model for Suicide Ideation Detection on Social Media,"['Ramit Sawhney', 'Harshit Joshi', 'Saumya Gandhi', 'Rajiv Ratn Shah']",,
A Visually-grounded First-person Dialogue Dataset with Verbal and Non-verbal Responses,"['Hisashi Kamezawa', 'Noriki Nishida', 'Nobuyuki Shimizu', 'Takashi Miyazaki', 'Hideki Nakayama']",,
Accurate Word Alignment Induction from Neural Machine Translation,"['Yun Chen', 'Yang Liu', 'Guanhua Chen', 'Xin Jiang', 'Qun Liu']",http://arxiv.org/abs/2004.14837v1,"Despite its original goal to jointly learn to align and translate, prior researches suggest that the state-of-the-art neural machine translation model Transformer captures poor word alignment through its attention mechanism. In this paper, we show that attention weights do capture accurate word alignment, which could only be revealed if we choose the correct decoding step and layer to induce word alignment. We propose to induce alignment with the to-be-aligned target token as the decoder input and present two simple but effective interpretation methods for word alignment induction, either through the attention weights or the leave-one-out measures. In contrast to previous studies, we find that attention weights capture better word alignment than the leave-one-out measures under our setting. Using the proposed method with attention weights, we greatly improve over fast-align on word alignment induction. Finally, we present a multi-task learning framework to train the Transformer model and show that by incorporating GIZA++ alignments into our multi-task training, we can induce significantly better alignments than GIZA++."
Acrostic Poem Generation,"['Rajat Agarwal', 'Katharina Kann']",http://arxiv.org/abs/2010.02239v1,"We propose a new task in the area of computational creativity: acrostic poem generation in English. Acrostic poems are poems that contain a hidden message; typically, the first letter of each line spells out a word or short phrase. We define the task as a generation task with multiple constraints: given an input word, 1) the initial letters of each line should spell out the provided word, 2) the poem's semantics should also relate to it, and 3) the poem should conform to a rhyming scheme. We further provide a baseline model for the task, which consists of a conditional neural language model in combination with a neural rhyming model. Since no dedicated datasets for acrostic poem generation exist, we create training data for our task by first training a separate topic prediction model on a small set of topic-annotated poems and then predicting topics for additional poems. Our experiments show that the acrostic poems generated by our baseline are received well by humans and do not lose much quality due to the additional constraints. Last, we confirm that poems generated by our model are indeed closely related to the provided prompts, and that pretraining on Wikipedia can boost performance."
Active Learning for BERT: An Empirical Study,"['Liat Ein-Dor', 'Alon Halfon', 'Ariel Gera', 'Eyal Shnarch', 'Lena Dankin', 'Leshem Choshen', 'Marina Danilevsky', 'Ranit Aharonov', 'Yoav Katz', 'Noam Slonim']",,
Adaptive Attentional Network for Few-Shot Knowledge Graph Completion,"['Jiawei Sheng', 'Shu Guo', 'Zhenyu Chen', 'Juwei Yue', 'Lihong Wang', 'Tingwen Liu', 'Hongbo Xu']",,
Adversarial Attack and Defense of Structured Prediction Models,"['Wenjuan Han', 'Liwen Zhang', 'Yong Jiang', 'Kewei Tu']",http://arxiv.org/abs/2010.01610v1,"Building an effective adversarial attacker and elaborating on countermeasures for adversarial attacks for natural language processing (NLP) have attracted a lot of research in recent years. However, most of the existing approaches focus on classification problems. In this paper, we investigate attacks and defenses for structured prediction tasks in NLP. Besides the difficulty of perturbing discrete words and the sentence fluency problem faced by attackers in any NLP tasks, there is a specific challenge to attackers of structured prediction models: the structured output of structured prediction models is sensitive to small perturbations in the input. To address these problems, we propose a novel and unified framework that learns to attack a structured prediction model using a sequence-to-sequence model with feedbacks from multiple reference models of the same structured prediction task. Based on the proposed attack, we further reinforce the victim model with adversarial training, making its prediction more robust and accurate. We evaluate the proposed framework in dependency parsing and part-of-speech tagging. Automatic and human evaluations show that our proposed framework succeeds in both attacking state-of-the-art structured prediction models and boosting them with adversarial training."
Adversarial Self-Supervised Data Free Distillation for Text Classification,"['Xinyin Ma', 'Yongliang Shen', 'Gongfan Fang', 'Chen Chen', 'Chenghao Jia', 'Weiming Lu']",,
Adversarial Semantic Collisions,"['Congzheng Song', 'Alexander Rush', 'Vitaly Shmatikov']",,
Affective Event Classification with Discourse-enhanced Self-training,"['Yuan Zhuang', 'Tianyu Jiang', 'Ellen Riloff']",,
ALICE: Active Learning with Contrastive Natural Language Explanations,"['Weixin Liang', 'James Zou', 'Zhou Yu']",http://arxiv.org/abs/2009.10259v1,"Training a supervised neural network classifier typically requires many annotated training samples. Collecting and annotating a large number of data points are costly and sometimes even infeasible. Traditional annotation process uses a low-bandwidth human-machine communication interface: classification labels, each of which only provides several bits of information. We propose Active Learning with Contrastive Explanations (ALICE), an expert-in-the-loop training framework that utilizes contrastive natural language explanations to improve data efficiency in learning. ALICE learns to first use active learning to select the most informative pairs of label classes to elicit contrastive natural language explanations from experts. Then it extracts knowledge from these explanations using a semantic parser. Finally, it incorporates the extracted knowledge through dynamically changing the learning model's structure. We applied ALICE in two visual recognition tasks, bird species classification and social relationship classification. We found by incorporating contrastive explanations, our models outperform baseline models that are trained with 40-100% more training data. We found that adding 1 explanation leads to similar performance gain as adding 13-30 labeled training data points."
Alignment-free Cross-lingual Semantic Role Labeling,"['Rui Cai', 'Mirella Lapata']",,
Amalgamating Knowledge from Two Teachers for Task-oriented Dialogue System with Adversarial Training,"['Wanwei He', 'Min Yang', 'Rui Yan', 'Chengming Li', 'Ying Shen', 'Ruifeng Xu']",,
AmbigQA: Answering Ambiguous Open-domain Questions,"['Sewon Min', 'Julian Michael', 'Hannaneh Hajishirzi', 'Luke Zettlemoyer']",http://arxiv.org/abs/2004.10645v2,"Ambiguity is inherent to open-domain question answering; especially when exploring new topics, it can be difficult to ask questions that have a single, unambiguous answer. In this paper, we introduce AmbigQA, a new open-domain question answering task which involves finding every plausible answer, and then rewriting the question for each one to resolve the ambiguity. To study this task, we construct AmbigNQ, a dataset covering 14,042 questions from NQ-open, an existing open-domain QA benchmark. We find that over half of the questions in NQ-open are ambiguous, with diverse sources of ambiguity such as event and entity references. We also present strong baseline models for AmbigQA which we show benefit from weakly supervised learning that incorporates NQ-open, strongly suggesting our new task and data will support significant future research effort. Our data and baselines are available at https://nlp.cs.washington.edu/ambigqa."
An Analysis of Natural Language Inference Benchmarks through the Lens of Negation,"['Md Mosharaf Hossain', 'Venelin Kovatchev', 'Pranoy Dutta', 'Tiffany Kao', 'Elizabeth Wei', 'Eduardo Blanco']",,
An Effective Data Augmentation Method for Low-resource Tagging Tasks,"['BOSHENG DING', 'Linlin Liu', 'Lidong Bing', 'Canasai Kruengkrai', 'Thien Hai Nguyen', 'Shafiq Joty', 'Luo Si', 'Chunyan Miao']",,
An Embedding Model for Estimating Legislative Preferences from the Frequency and Sentiment of Tweets,"['Gregory Spell', 'Brian Guay', 'Sunshine Hillygus', 'Lawrence Carin']",,
An Empirical Investigation of Contextualized Number Prediction,"['Taylor Berg-Kirkpatrick', 'Daniel Spokoyny']",,
An Empirical Investigation Towards Efficient Multi-Domain Language Model Pre-training,"['Kristjan Arumae', 'Qing Sun', 'Parminder Bhatia']",http://arxiv.org/abs/2010.00784v1,"Pre-training large language models has become a standard in the natural language processing community. Such models are pre-trained on generic data (e.g. BookCorpus and English Wikipedia) and often fine-tuned on tasks in the same domain. However, in order to achieve state-of-the-art performance on out of domain tasks such as clinical named entity recognition and relation extraction, additional in domain pre-training is required. In practice, staged multi-domain pre-training presents performance deterioration in the form of catastrophic forgetting (CF) when evaluated on a generic benchmark such as GLUE. In this paper we conduct an empirical investigation into known methods to mitigate CF. We find that elastic weight consolidation provides best overall scores yielding only a 0.33% drop in performance across seven generic tasks while remaining competitive in bio-medical tasks. Furthermore, we explore gradient and latent clustering based data selection techniques to improve coverage when using elastic weight consolidation and experience replay methods."
An Empirical Study of Generation Order for Machine Translation,"['William Chan', 'Mitchell Stern', 'Jamie Kiros', 'Jakob Uszkoreit']",http://arxiv.org/abs/1910.13437v1,"In this work, we present an empirical study of generation order for machine translation. Building on recent advances in insertion-based modeling, we first introduce a soft order-reward framework that enables us to train models to follow arbitrary oracle generation policies. We then make use of this framework to explore a large variety of generation orders, including uninformed orders, location-based orders, frequency-based orders, content-based orders, and model-based orders. Curiously, we find that for the WMT'14 English $\to$ German translation task, order does not have a substantial impact on output quality, with unintuitive orderings such as alphabetical and shortest-first matching the performance of a standard Transformer. This demonstrates that traditional left-to-right generation is not strictly necessary to achieve high performance. On the other hand, results on the WMT'18 English $\to$ Chinese task tend to vary more widely, suggesting that translation for less well-aligned language pairs may be more sensitive to generation order."
An Empirical Study of Hyperbole,"['Li Kong', 'Chuanyi Li', 'Jidong Ge', 'Bin Luo', 'Vincent Ng']",,
An Empirical Study on Large-Scale Multi-Label Text Classification including Few and Zero-Shot Labels,"['Ilias Chalkidis', 'Manos Fergadiotis', 'Sotiris Kotitsas', 'Prodromos Malakasiotis', 'Nikolaos Aletras', 'Ion Androutsopoulos']",http://arxiv.org/abs/2010.01653v1,"Large-scale Multi-label Text Classification (LMTC) has a wide range of Natural Language Processing (NLP) applications and presents interesting challenges. First, not all labels are well represented in the training set, due to the very large label set and the skewed label distributions of LMTC datasets. Also, label hierarchies and differences in human labelling guidelines may affect graph-aware annotation proximity. Finally, the label hierarchies are periodically updated, requiring LMTC models capable of zero-shot generalization. Current state-of-the-art LMTC models employ Label-Wise Attention Networks (LWANs), which (1) typically treat LMTC as flat multi-label classification; (2) may use the label hierarchy to improve zero-shot learning, although this practice is vastly understudied; and (3) have not been combined with pre-trained Transformers (e.g. BERT), which have led to state-of-the-art results in several NLP benchmarks. Here, for the first time, we empirically evaluate a battery of LMTC methods from vanilla LWANs to hierarchical classification approaches and transfer learning, on frequent, few, and zero-shot learning on three datasets from different domains. We show that hierarchical methods based on Probabilistic Label Trees (PLTs) outperform LWANs. Furthermore, we show that Transformer-based approaches outperform the state-of-the-art in two of the datasets, and we propose a new state-of-the-art method which combines BERT with LWANs. Finally, we propose new models that leverage the label hierarchy to improve few and zero-shot learning, considering on each dataset a graph-aware annotation proximity measure that we introduce."
An Exploration of Arbitrary-Order Sequence Labeling via Energy-Based Inference Networks,"['Lifu Tu', 'Tianyu Liu', 'Kevin Gimpel']",http://arxiv.org/abs/2010.02789v1,"Many tasks in natural language processing involve predicting structured outputs, e.g., sequence labeling, semantic role labeling, parsing, and machine translation. Researchers are increasingly applying deep representation learning to these problems, but the structured component of these approaches is usually quite simplistic. In this work, we propose several high-order energy terms to capture complex dependencies among labels in sequence labeling, including several that consider the entire label sequence. We use neural parameterizations for these energy terms, drawing from convolutional, recurrent, and self-attention networks. We use the framework of learning energy-based inference networks (Tu and Gimpel, 2018) for dealing with the difficulties of training and inference with such models. We empirically demonstrate that this approach achieves substantial improvement using a variety of high-order energy terms on four sequence labeling tasks, while having the same decoding speed as simple, local classifiers. We also find high-order energies to help in noisy data conditions."
An Imitation Game for Learning Semantic Parsers from User Interaction,"['Ziyu Yao', 'Yiqi Tang', 'Wen-tau Yih', 'Huan Sun', 'Yu Su']",http://arxiv.org/abs/2005.00689v2,"Despite the widely successful applications, bootstrapping and fine-tuning semantic parsers are still a tedious process with challenges such as costly data annotation and privacy risks. In this paper, we suggest an alternative, human-in-the-loop methodology for learning semantic parsers directly from users. A semantic parser should be introspective of its uncertainties and prompt for user demonstration when uncertain. In doing so it also gets to imitate the user behavior and continue improving itself autonomously with the hope that eventually it may become as good as the user in interpreting their questions. To combat the sparsity of demonstration, we propose a novel annotation-efficient imitation learning algorithm, which iteratively collects new datasets by mixing demonstrated states and confident predictions and re-trains the semantic parser in a Dataset Aggregation fashion (Ross et al., 2011). We provide a theoretical analysis of its cost bound and also empirically demonstrate its promising performance on the text-to-SQL problem. Code will be available at https://github.com/sunlab-osu/MISP."
An Information Bottleneck Approach for Controlling Conciseness in Rationale Extraction,"['Bhargavi Paranjape', 'Mandar Joshi', 'John Thickstun', 'Hannaneh Hajishirzi', 'Luke Zettlemoyer']",http://arxiv.org/abs/2005.00652v2,"Decisions of complex language understanding models can be rationalized by limiting their inputs to a relevant subsequence of the original text. A rationale should be as concise as possible without significantly degrading task performance, but this balance can be difficult to achieve in practice. In this paper, we show that it is possible to better manage this trade-off by optimizing a bound on the Information Bottleneck (IB) objective. Our fully unsupervised approach jointly learns an explainer that predicts sparse binary masks over sentences, and an end-task predictor that considers only the extracted rationale. Using IB, we derive a learning objective that allows direct control of mask sparsity levels through a tunable sparse prior. Experiments on ERASER benchmark tasks demonstrate significant gains over norm-minimization techniques for both task performance and agreement with human rationales. Furthermore, we find that in the semi-supervised setting, a modest amount of gold rationales (25% of training examples) closes the gap with a model that uses the full input."
An Unsupervised Joint System for Text Generation from Knowledge Graphs and Semantic Parsing,"['Martin Schmitt', 'Sahand Sharifzadeh', 'Volker Tresp', 'Hinrich Schütze']",http://arxiv.org/abs/1904.09447v3,"Knowledge graph (KG) schemas can vary greatly from one domain to another. Therefore supervised approaches to graph-to-text generation and text-to-graph knowledge extraction (semantic parsing) will always suffer from a shortage of domain-specific parallel graph-text data, while adapting a model trained on a different domain is often impossible due to little or no overlap in entities and relations. This situation calls for an approach that (1) does not need large amounts of annotated data and (2) is easy to adapt to new KG schemas. To this end, we present the first approach to fully unsupervised text generation from KGs and KG generation from text. Inspired by recent work on unsupervised machine translation, we serialize a KG as a sequence of facts and frame both tasks as sequence translation. By means of a shared sequence encoder and decoder, our model learns to map both graphs and texts into a joint semantic space and thus generalizes over different surface representations with the same meaning. We evaluate our approach on WebNLG v2.1 and a new benchmark leveraging scene graphs from Visual Genome. Our system outperforms strong baselines for both text$\leftrightarrow$graph tasks without any manual adaptation from one dataset to the other. In additional experiments, we investigate the impact of using different unsupervised objectives."
An Unsupervised Sentence Embedding Method by Mutual Information Maximization,"['Yan Zhang', 'Ruidan He', 'ZUOZHU LIU', 'Kwan Hui Lim', 'Lidong Bing']",http://arxiv.org/abs/2009.12061v1,"BERT is inefficient for sentence-pair tasks such as clustering or semantic search as it needs to evaluate combinatorially many sentence pairs which is very time-consuming. Sentence BERT (SBERT) attempted to solve this challenge by learning semantically meaningful representations of single sentences, such that similarity comparison can be easily accessed. However, SBERT is trained on corpus with high-quality labeled sentence pairs, which limits its application to tasks where labeled data is extremely scarce. In this paper, we propose a lightweight extension on top of BERT and a novel self-supervised learning objective based on mutual information maximization strategies to derive meaningful sentence embeddings in an unsupervised manner. Unlike SBERT, our method is not restricted by the availability of labeled data, such that it can be applied on different domain-specific corpus. Experimental results show that the proposed method significantly outperforms other unsupervised sentence embedding baselines on common semantic textual similarity (STS) tasks and downstream supervised tasks. It also outperforms SBERT in a setting where in-domain labeled data is not available, and achieves performance competitive with supervised methods on various tasks."
Analogous Process Structure Induction for Sub-event Sequence Prediction,"['Hongming Zhang', 'Muhao Chen', 'Haoyu Wang', 'Yangqiu Song', 'Dan Roth']",,
Analyzing Individual Neurons in Pre-trained Language Models,"['Nadir Durrani', 'Hassan Sajjad', 'Fahim Dalvi', 'Yonatan Belinkov']",http://arxiv.org/abs/2010.02695v1,"While a lot of analysis has been carried to demonstrate linguistic knowledge captured by the representations learned within deep NLP models, very little attention has been paid towards individual neurons.We carry outa neuron-level analysis using core linguistic tasks of predicting morphology, syntax and semantics, on pre-trained language models, with questions like: i) do individual neurons in pre-trained models capture linguistic information? ii) which parts of the network learn more about certain linguistic phenomena? iii) how distributed or focused is the information? and iv) how do various architectures differ in learning these properties? We found small subsets of neurons to predict linguistic tasks, with lower level tasks (such as morphology) localized in fewer neurons, compared to higher level task of predicting syntax. Our study also reveals interesting cross architectural comparisons. For example, we found neurons in XLNet to be more localized and disjoint when predicting properties compared to BERT and others, where they are more distributed and coupled."
Analyzing Redundancy in Pretrained Transformer Models,"['Fahim Dalvi', 'Hassan Sajjad', 'Nadir Durrani', 'Yonatan Belinkov']",http://arxiv.org/abs/2004.04010v2,"Transformer-based deep NLP models are trained using hundreds of millions of parameters, limiting their applicability in computationally constrained environments. In this paper, we study the cause of these limitations by defining a notion of Redundancy, which we categorize into two classes: General Redundancy and Task-specific Redundancy. We dissect two popular pretrained models, BERT and XLNet, studying how much redundancy they exhibit at a representation-level and at a more fine-grained neuron-level. Our analysis reveals interesting insights, such as: i) 85% of the neurons across the network are redundant and ii) at least 92% of them can be removed when optimizing towards a downstream task. Based on our analysis, we present an efficient feature-based transfer learning procedure, which maintains 97% performance while using at-most 10% of the original neurons."
Annotating Temporal Dependency Graphs via Crowdsourcing,"['Jiarui Yao', 'Haoling Qiu', 'Bonan Min', 'Nianwen Xue']",,
AnswerFact: Fact Checking in Product Question Answering,"['Wenxuan Zhang', 'Yang Deng', 'Jing Ma', 'Wai Lam']",,
Are All Good Word Vector Spaces Isomorphic?,"['Ivan Vulić', 'Sebastian Ruder', 'Anders Søgaard']",http://arxiv.org/abs/2004.04070v1,"Existing algorithms for aligning cross-lingual word vector spaces assume that vector spaces are approximately isomorphic. As a result, they perform poorly or fail completely on non-isomorphic spaces. Such non-isomorphism has been hypothesised to result almost exclusively from typological differences between languages. In this work, we ask whether non-isomorphism is also crucially a sign of degenerate word vector spaces. We present a series of experiments across diverse languages which show that, besides inherent typological differences, variance in performance across language pairs can largely be attributed to the size of the monolingual resources available, and to the properties and duration of monolingual training (e.g. ""under-training"")."
Argument Pair Extraction from Peer Review and Rebuttal via Multi-task Learning,"['Liying Cheng', 'Lidong Bing', 'Qian Yu', 'Wei Lu', 'Luo Si']",,
Asking without Telling: Exploring Latent Ontologies in Contextual Representations,"['Julian Michael', 'Jan A. Botha', 'Ian Tenney']",http://arxiv.org/abs/2004.14513v1,"The success of pretrained contextual encoders, such as ELMo and BERT, has brought a great deal of interest in what these models learn: do they, without explicit supervision, learn to encode meaningful notions of linguistic structure? If so, how is this structure encoded? To investigate this, we introduce latent subclass learning (LSL): a modification to existing classifier-based probing methods that induces a latent categorization (or ontology) of the probe's inputs. Without access to fine-grained gold labels, LSL extracts emergent structure from input representations in an interpretable and quantifiable form. In experiments, we find strong evidence of familiar categories, such as a notion of personhood in ELMo, as well as novel ontological distinctions, such as a preference for fine-grained semantic roles on core arguments. Our results provide unique new evidence of emergent structure in pretrained encoders, including departures from existing annotations which are inaccessible to earlier methods."
Aspect-Based Sentiment Analysis by Aspect-Sentiment Joint Embedding,"['Jiaxin Huang', 'Yu Meng', 'Fang Guo', 'Heng Ji', 'Jiawei Han']",,
